nr;category;function;ct1;ct2;jct;cto;path_ct1;path_ct2;path_jct;path_cto
153;3) Hashverfahren und Authentifizierungscodes;CRC-8;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
154;3) Hashverfahren und Authentifizierungscodes;CRC-8/CCITT;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
155;3) Hashverfahren und Authentifizierungscodes;CRC-8/DARC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
156;3) Hashverfahren und Authentifizierungscodes;CRC-8/EBU;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
157;3) Hashverfahren und Authentifizierungscodes;CRC-8/I-CODE;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
158;3) Hashverfahren und Authentifizierungscodes;CRC-8/ITU;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
159;3) Hashverfahren und Authentifizierungscodes;CRC-8/J1850;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
160;3) Hashverfahren und Authentifizierungscodes;CRC-8/MAXIM;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
161;3) Hashverfahren und Authentifizierungscodes;CRC-8/ROHC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
162;3) Hashverfahren und Authentifizierungscodes;CRC-8/WCDMA;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
163;3) Hashverfahren und Authentifizierungscodes;CRC-A;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
164;3) Hashverfahren und Authentifizierungscodes;FORK-256;;;A;;;;[A] Algorithmen\ Hash-Funktionen\ FORK256;
165;3) Hashverfahren und Authentifizierungscodes;Hashwert einer Datei;X;;D\A;;Einzelverfahren\ Hashverfahren\ Hashwert einer Datei…;;[D] Algorithmen\ Hash\MD5<br/>[D] Algorithmen\ Hash\ SHA<br/>[D] Algorithmen\ Hash\ SHA3-Kandidaten<br/>[A] Hash-Funktionen\;
166;3) Hashverfahren und Authentifizierungscodes;HMACs;X;K\T;D\A;;Einzelverfahren\ Hashverfahren\ Generieren von HMACs…;[K] Protokolle\ HMAC<br/>[T] Hash-Funktionen\ HMAC;[D] Algorithmen\ MAK\ HMacMD5<br/>[A] Algorithmen\ Authentifizierungscodes\ HMaK\;
167;3) Hashverfahren und Authentifizierungscodes;JAMCRC;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
168;3) Hashverfahren und Authentifizierungscodes;KERMIT;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
169;3) Hashverfahren und Authentifizierungscodes;MD2;X;;;;Einzelverfahren\ Hashverfahren\ MD2;;;
170;3) Hashverfahren und Authentifizierungscodes;MD4;X;;A;;Einzelverfahren\ Hashverfahren\ MD4;;[A] Algorithmen\ Hash-Funktionen\ MD4;
171;3) Hashverfahren und Authentifizierungscodes;MD5;X;K\T\W;D\A;;Einzelverfahren\ Hashverfahren\ MD5;[K] Hash-Funktionen\ MD5<br/>[T] Hash-Funktionen\ MD5<br/>[W] Start\ Hash-Funktionen\ MD5;[D] Algorithmen\ Hash\ MD5<br/>[A] Algorithmen\ Hash-Funktionen\ MD5;
172;3) Hashverfahren und Authentifizierungscodes;MODBUS;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
173;3) Hashverfahren und Authentifizierungscodes;Password-Speicherung mittels Salted SHA-1;;T;;;;[T] Hash-Funktionen\ Password-Speicherung mittels Salted SHA-1;;
174;3) Hashverfahren und Authentifizierungscodes;Password-Verifizierung mittels Salted SHA-1;;T;;;;[T] Hash-Funktionen\ Password-Verifizierung mittels Salted SHA-1;;
175;3) Hashverfahren und Authentifizierungscodes;PKCS#5;;K;A;;;[K] Hash-Funktionen\ PKCS#5;[A] Algorithmen\ Passwortbasierte Chiffren\;
176;3) Hashverfahren und Authentifizierungscodes;RIPEMD-160;X;K\T\W;A;;Einzelverfahren\ Hashverfahren\ RIPEMD-160;[K] Hash-Funktionen\ RIPEMD160<br/>[T] Hash-Funktionen\ RIPEMD160<br/>[W] Start\ Hash-Funktionen\ RIPEMD160;[A] Algorithmen\ Hash-Funktionen\ RIPEMD;
177;3) Hashverfahren und Authentifizierungscodes;Schlüssel aus Passwort generieren (PKCS #5);X;;;;Einzelverfahren\ Hashverfahren\ Schlüssel aus Passwort generieren (PKCS #5)…;;;
178;3) Hashverfahren und Authentifizierungscodes;SHA-1;X;K\T\W;A;;Einzelverfahren\ Hashverfahren\ SHA-1;[K] Hash-Funktionen\ SHA<br/>[T] Hash-Funktionen\ SHA1<br/>[W] Start\ Hash-Funktionen\ SHA-1;[A] Algorithmen\ Hash-Funktionen\ SHA;
179;3) Hashverfahren und Authentifizierungscodes;SHA-256;X;K\T\W;D\A;;Einzelverfahren\ Hashverfahren\ SHA-256;[K] Hash-Funktionen\ SHA<br/>[T] Hash-Funktionen\ SHA256<br/>[W] Start\ Hash-Funktionen\ SHA-256;[D] Algorithmen\ Hash\ SHA<br/>[A] Algorithmen\ Hash-Funktionen\ SHA256;
180;3) Hashverfahren und Authentifizierungscodes;SHA-384;;K;A;;;[K] Hash-Funktionen\ SHA;[A] Algorithmen\ Hash-Funktionen\ SHA384;
181;3) Hashverfahren und Authentifizierungscodes;SHA-3-Kandidaten;;;D;;;;[D] Algorithmen\ Hash\ SHA3-Kandidaten;
182;3) Hashverfahren und Authentifizierungscodes;SHA-3 (Keccak);;K\T;;;;[K] Hash-Funktionen\ Keccak<br/>[T] Hash-Funktionen\ Keccak Hash (SHA-3);;
183;3) Hashverfahren und Authentifizierungscodes;SHA-512;X;K;A;;Einzelverfahren\ Hashverfahren\ SHA-512;[K] Hash-Funktionen\ SHA;[A] Algorithmen\ Hash-Funktionen\ SHA512;
184;3) Hashverfahren und Authentifizierungscodes;Tiger;;K\T\W;A;;;[K] Hash-Funktionen\ Tiger<br/>[T] Hash-Funktionen\ Tiger<br/>[W] Start\ Hash-Funktionen\ Tiger;[A] Algorithmen\ Hash-Funktionen\ Tiger;
185;3) Hashverfahren und Authentifizierungscodes;Two-Track MAC;;;A;;;;[A] Algorithmen\ Authentifizierungscodes\ TwoTrackMaK\;
186;3) Hashverfahren und Authentifizierungscodes;VSH;;;A;;;;[A] Algorithmen\ Hash-Funktionen\ VSH;
187;3) Hashverfahren und Authentifizierungscodes;Whirlpool;;K\T\W;;;;[K] Hash-Funktionen\ Whirlpool<br/>[T] Hash-Funktionen\ Whirlpool<br/>[W] Start\ Hash-Funktionen\ Whirlpool;;
188;3) Hashverfahren und Authentifizierungscodes;XFER;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
189;3) Hashverfahren und Authentifizierungscodes;XMODEM;;K\T;;;;[K] Hash-Funktionen\ CRC<br/>[T] Hash-Funktionen\ CRC;;
191;4) Digitale Signatur/PKI;CMSS;;;A;;;;[A] Algorithmen\ Signaturen\ CMSSSignature\;
192;4) Digitale Signatur/PKI;DSA;X;;D\A;;Digitale Signaturen/PKI\ Dokument signieren…\ DSA;;[D] Algorithmen\ Signatur\ DSA<br/>[A] Algorithmen\ Signaturen\ DSASignature\;
193;4) Digitale Signatur/PKI;ECDSA;X;;A;;Digitale Signaturen/PKI\ Dokument signieren…\ ECSP-DSA;;[A] Algorithmen\ Signaturen\ ECDSASignature\;
194;4) Digitale Signatur/PKI;ECNR;X;;A;;Digitale Signaturen/PKI\ Dokument signieren…\ ECSP-NR;;[A] Algorithmen\ Signaturen\ SHA1\ECNR;
195;4) Digitale Signatur/PKI;GMSS;;;A;;;;[A] Algorithmen\ Signaturen\ GMSSSignature\;
196;4) Digitale Signatur/PKI;IQDSA;;;A;;;;[A] Algorithmen\ Signaturen\ IQDSASignature\;
197;4) Digitale Signatur/PKI;IQGQ;;;A;;;;[A] Algorithmen\ Signaturen\ IQGQSignature\;
198;4) Digitale Signatur/PKI;IQRDSA;;;A;;;;[A] Algorithmen\ Signaturen\ IQRDSASignature\;
199;4) Digitale Signatur/PKI;Merkle OTS;;;A;;;;[A] Algorithmen\ Signaturen\ MerkleOTSSignature\;
200;4) Digitale Signatur/PKI;Niederreiter CFS;;;A;;;;[A] Algorithmen\ Signaturen\ NiederreiterCFS;
201;4) Digitale Signatur/PKI;RSASSA-PSS;;;A;;;;[A] Algorithmen\ Signaturen\ RSASSA-PSS;
202;4) Digitale Signatur/PKI;Schlüssel anzeigen/exportieren;X;;;;Digitale Signaturen/PKI\ Schlüssel anzeigen/exportieren…;;;
203;4) Digitale Signatur/PKI;Schlüssel erzeugen/importieren;X;;;;Digitale Signaturen/PKI\ Schlüssel erzeugen/importieren…;;;
204;4) Digitale Signatur/PKI;Signatur überprüfen;X;;;;Digitale Signaturen/PKI\ Signatur überprüfen…;;;
205;4) Digitale Signatur/PKI;Signatur extrahieren;X;;;;Digitale Signaturen/PKI\ Signatur extrahieren…;;;
206;4) Digitale Signatur/PKI;SSL (MD5 und SHA1 mit RSA);;;A;;;;[A] Algorithmen\ Signaturen\ SHA1\ SSL_MD5andSHA1withRSA;
208;5) Zufallszahlen-Generatoren;Blum Blum Shub (B.B.S.) (PRNG);;;A;;;;[A] Algorithmen\ Pseudo-Zufallsgeneratoren\ BBSRandom;
209;5) Zufallszahlen-Generatoren;Elliptische Kurven (PRNG);;;A;;;;[A] Algorithmen\ Pseudo-Zufallsgeneratoren\ ECPRNG;
210;5) Zufallszahlen-Generatoren;Inverser Kongruenz-Generator (IKG) (PRNG);X;;;;Einzelverfahren\ Tools\ Zufallsdaten erzeugen…;;;
211;5) Zufallszahlen-Generatoren;Linearer Kongruenz-Generator (LKG) (PRNG);X;;;;Einzelverfahren\ Tools\ Zufallsdaten erzeugen…;;;
212;5) Zufallszahlen-Generatoren;SHA-1 (PRNG);;;D\A;;;;[D] Algorithmen\ Zufallszahlengenerator\ SHA1<br/>[A] Algorithmen\ Pseudo-Zufallsgeneratoren\ SHA1PRNG;
213;5) Zufallszahlen-Generatoren;SHA-3 (Keccak) (PRNG);;T;;;;[T] Werkzeuge\ Keccak PRNG;;
214;5) Zufallszahlen-Generatoren;X^2 (mod N) Zufallsgenerator (PRNG);X;;;;Einzelverfahren\ Tools\ Zufallsdaten erzeugen…;;;
215;5) Zufallszahlen-Generatoren;Zufallsgenerator der Secude-Bibliothek;X;;;;Einzelverfahren\ Tools\ Zufallsdaten erzeugen…;;;
217;6) Klassische Kryptoanalyse;ADFGVX-Analyse;X;;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-Only\ ADFGVX…;;;
218;6) Klassische Kryptoanalyse;Autokorrelation;X;K;;X;Werkzeuge zur Analyse\ Autokorrelation;[K] Kryptoanalyse\ Generisch\ Autokorrelation;;Kryptoanalyse\ Autokorrelation
219;6) Klassische Kryptoanalyse;Byteweise Addition-Analyse;X;;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-Only\ Byteweise Addition;;;
220;6) Klassische Kryptoanalyse;Caesar-Analyse;X;K\T\W;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-Only\ Caesar;[K] Kryptoanalyse\ Spezifisch\ Caesar-Analyse<br/>[T] Kryptoanalyse\ Klassisch\ Caesar*<br/>[W] Start\ Kryptoanalyse\ Klassische Verschlüsselung\ Caesar;;
221;6) Klassische Kryptoanalyse;Datenstrom-Vergleich;;K;;;;[K] Werkzeuge\ Sonstige\ Datenstrom-Vergleicher;;
222;6) Klassische Kryptoanalyse;Enigma-Angriff;;K\T\W;;;;[K] Kryptoanalyse\ Spezifisch\ Enigma<br/>[T] Kryptoanalyse\ Klassisch\ Enigma Analyse<br/>[W] Start\ Kryptoanalyse\ Klassische Verschlüsselung\ Enigma;;
223;6) Klassische Kryptoanalyse;Entropie;X;K;D;;Werkzeuge zur Analyse\ Entropie;[K] Kryptoanalyse\ Generisch\ Kostenfunktion;[D] Analyse\ Entropie-Analyse;
224;6) Klassische Kryptoanalyse;Friedman-Test;;K;D;;;[K] Kryptoanalyse\ Generisch\ Friedman-Test;[D] Analyse\ Friedman-Test;
225;6) Klassische Kryptoanalyse;Häufigkeitsanalyse;X;K\T;D;X;Analyse\ Zufallsanalyse\ Frequency-Test…<br/>Analyse\ Werkzeuge zur Analyse\ Gleitende Häufigkeit;[K] Kryptoanalyse\ Generisch\ Frequenzanalyse<br/>[T] Kryptoanalyse\ Klassisch\ Frequenzanalyse;[D] Analyse\ Häufigkeitsanalyse;Kryptoanalyse\ Häufigkeitsanalyse
226;6) Klassische Kryptoanalyse;Hill-Analyse;X;;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Known Plaintext\ Hill…;;;
227;6) Klassische Kryptoanalyse;Histogramm;X;;;;Analyse\ Werkzeuge zur Analyse\ Histogramm;;;
228;6) Klassische Kryptoanalyse;Kasiski-Test;;K;;;;[K] Kryptoanalyse\ Generisch\ Kasiski-Test;;
229;6) Klassische Kryptoanalyse;Monoalphabetische Substitution;;T;;;;[T] Kryptoanalyse\ Klassisch\ AnalysisMonoalphabeticSubstitution;;
230;6) Klassische Kryptoanalyse;N-Gramm-Analyse;X;;;X;Analyse\ Werkzeuge zur Analyse\ N-Gramm…;;;Kryptoanalyse\ n-Gramm-Analyse
231;6) Klassische Kryptoanalyse;Periodizitäts-Analyse;X;;;;Analyse\ Werkzeuge zur Analyse\ Periode;;;
232;6) Klassische Kryptoanalyse;Playfair-Analyse;X;;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Manuelle Analyse\ Playfair…;;;
233;6) Klassische Kryptoanalyse;Runs-Test;X;;;;Analyse\ Zufallsanalyse\ Runs-Test…;;;
234;6) Klassische Kryptoanalyse;Skytale-Analyse;;T\W;;;;[T] Kryptoanalyse\ Skytale Brute-Force-Analyse<br/>[W] Start\ Kryptoanalyse\ Klassische Verschlüsselung\ Skytale;;
235;6) Klassische Kryptoanalyse;Solitaire-Analyse;X;K\T;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Manuelle Analyse\ Solitaire…<br/>Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-only\ Solitaire…;[K] Kryptoanalyse\ Spezifisch\ Solitaire-Analyse<br/>[T] Kryptoanalyse\ Klassisch\ Solitaire Brute-Force-Analyse;;
236;6) Klassische Kryptoanalyse;Substitutions-Analyse;X;;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Manuelle Analyse\ Substitution…<br/>Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-only\ Substitution…;;;
237;6) Klassische Kryptoanalyse;Transpositions-Analyse;X;K\T\W;D;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Known Plaintext\ Einstufige Spaltentransposition…;[K] Kryptoanalyse\ Spezifisch\ Transpositions-Analyse<br/>[T] Kryptoanalyse\ Klassisch\ Transposition*<br/>[W] Start\ Kryptoanalyse\ Klassische Verschlüsselung\ Transposition;[D] Analyse\ Transpositions-Analyse;
238;6) Klassische Kryptoanalyse;Vernam-Analyse;X;;;;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-Only\ XOR / Vernam;;;
239;6) Klassische Kryptoanalyse;Vigenère-Analyse;X;K\T\W;D;X;Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-Only\ Vigenère<br/>Analyse\ Symmetrische Verschlüsselung (klassisch)\ Ciphertext-Only\ Vigenère (Analyse nach Schrödel)…;[K] Kryptoanalyse\ Statistics\ Vigènere-Autokey-Analyse<br/>[T] Kryptoanalyse\ Klassisch\ Vigenère-Analyse<br/>[W] Start\ Kryptoanalyse\ Klassische Verschlüsselung\ Vigenère;[D] Analyse\ Vigenère-Analyse;Kryptoanalyse\ Knacke Vigenère
240;6) Klassische Kryptoanalyse;Wörterbuchsuche;;K;;;;[K] Kryptoanalyse\ Generisch\ Wörterbuch-Suche<br/>[T] Hash-Funktionen\Wörterbuchangriff;;
241;6) Klassische Kryptoanalyse;Wortmuster-Analyse;;K\T;;;;[K] Kryptoanalyse\ Generisch\ Wortmuster<br/>[T] Kryptoanalyse\ Klassisch\ Wortmuster-Analyse*;;
243;7) Moderne Kryptoanalyse;3DES Brute-Force-Angriff;X;K\T;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Triple DES…;[K] Kryptoanalyse\ Spezifisch\ Schlüsselsucher<br/>[T] Kryptoanalyse\ Modern\ Triple-DES Brute-Force-Analyse;;
244;7) Moderne Kryptoanalyse;AES Brute-Force-Angriff;X;K\T\W;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Rijndael (AES)…;[K] Kryptoanalyse\ Spezifisch\ Schlüsselsucher<br/>[T] Kryptoanalyse\ Modern\ AES*<br/>[W] Start\ Kryptoanalyse\ Moderne Verschlüsselung\ Symmetrische Verschlüsselung\ AES*;;
245;7) Moderne Kryptoanalyse;Allgemeines Zahlkörper-Sieb;;K\T;;;;[K] Kryptoanalyse\ Generisch\ General Number Field Sieve (GNFS)<br/>[T] Mathematisch\ Faktorisierung mit dem allgemeinen Zahlkörpersieb (GNFS);;
246;7) Moderne Kryptoanalyse;Berlekamp-Massey-Algorithmus;;K\T;;;;[K] Kryptoanalyse\ Generisch\ Berlekamp-Massey-Algorithmus<br/>[T] Mathematisch\ Berlekamp-Massey;;
247;7) Moderne Kryptoanalyse;Bit-Commitment-Protokoll;;K\T;;;;[K] Protokolle\ Bit-Commitment-Protokoll<br/>[T] Mathematisch\ ISAP Bit-Commitment-Protokoll;;
248;7) Moderne Kryptoanalyse;Cube-Angriff;;K\T;;;;[K] Kryptoanalyse\ Spezifisch\ Cube-Angriff<br/>[T] Kryptoanalyse\ Modern\ Cube-Angriff auf Trivium;;
249;7) Moderne Kryptoanalyse;DES Brute-Force-Angriff;X;K\T\W;;;Analyse\ Symmetrische Verschlüsselung (modern)\ DES…;[K] Kryptoanalyse\ Spezifisch\ Schlüsselsucher<br/>[T] Kryptoanalyse\ Modern\ DES*<br/>[W] Start\ Kryptoanalyse\ Moderne Verschlüsselung\ Symmetrische Verschlüsselung\ DES*;;
250;7) Moderne Kryptoanalyse;DESL Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Weitere Algorithmen\ DESL…;;;
251;7) Moderne Kryptoanalyse;DESX Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Weitere Algorithmen\ DESX…;;;
252;7) Moderne Kryptoanalyse;DESXL Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Weitere Algorithmen\ DESXL…;;;
253;7) Moderne Kryptoanalyse;Diskreter Logarithmus;;K\T;;;;[K] Kryptoanalyse\ Generisch\ Diskreter Logarithmus<br/>[T] Mathematisch\ Diskreter Logarithmus;;
254;7) Moderne Kryptoanalyse;FIPS PUB-140-1;X;;;;Analyse\ Zufallsanalyse\ FIPS PUB-140-1 Testbatterie;;;
255;7) Moderne Kryptoanalyse;Hash-Kollisionen;X;;;;Analyse\ Hashverfahren\ Angriff auf den Hashwert der digitalen Signatur…;;;
256;7) Moderne Kryptoanalyse;IDEA Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ IDEA…;;;
257;7) Moderne Kryptoanalyse;Kostenfunktion;;K;;;;[K] Kryptoanalyse\ Generisch\ Kostenfunktion;;
258;7) Moderne Kryptoanalyse;MARS Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Weitere Algorithmen\ MARS…;;;
259;7) Moderne Kryptoanalyse;MD5-Kollisionen;;K\T\W;;;;[K] Hash-Funktionen\ MD5-Kollisionsgenerator<br/>[T] Hash-Funktionen\ MD5-Kollisionsfinder<br/>[W] Start\ Kryptoanalyse\ Moderne Verschlüsselung\ Hash-Funktionen\ MD5;;
260;7) Moderne Kryptoanalyse;Padding Oracle;;K;;;;[K] Werkzeuge\ Sonstige\ Padding Oracle;;
261;7) Moderne Kryptoanalyse;Padding Oracle-Angriff gegen AES;;T;;;;[T] Kryptoanalyse\ Modern\ PaddingOracleAttackAES;;
262;7) Moderne Kryptoanalyse;Padding Oracle-Angriff gegen DES;;T;;;;[T] Kryptoanalyse\ Modern\ PaddingOracleAttackDES;;
263;7) Moderne Kryptoanalyse;Poker-Test;X;;;;Analyse\ Zufallsanalyse\ Poker-Test…;;;
264;7) Moderne Kryptoanalyse;Quadratisches Sieb (QS);;K\T;;;;[K] Kryptoanalyse\ Generisch\ Quadratisches Sieb (QS)<br/>[T] Mathematisch\ Faktorisierung mit Quadratischem Sieb (QS);;
265;7) Moderne Kryptoanalyse;RC2 Brute-Force-Angriff;X;K;;;Analyse\ Symmetrische Verschlüsselung (modern)\ RC2…;[K] Kryptoanalyse\ Spezifisch\ Schlüsselsucher;;
266;7) Moderne Kryptoanalyse;RC4 Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ RC4…;;;
267;7) Moderne Kryptoanalyse;RC6 Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Weitere Algorithmen\ RC6…;;;
268;7) Moderne Kryptoanalyse;RSA-Angriff;X;W;;;Einzelverfahren\ RSA-Kryptosystem\ Gitterbasierte Angriffe auf RSA\<br/>Analyse\ Asymmetrische Verfahren\ Gitterbasierte Angriffe auf RSA\<br/>Analyse\ Asymmetrische Verfahren\ Seitenkanalangriff auf "Textbook-RSA"…;[W] Start\ Kryptoanalyse\ Moderne Verschlüsselung\ Asymmetrische Verschlüsselung\ RSA;;
269;7) Moderne Kryptoanalyse;SDES Brute-Force-Angriff;;K\T\W;;;;[K] Kryptoanalyse\ Spezifisch\ Schlüsselsucher<br/>[T] Kryptoanalyse\ Modern\ SDES*<br/>[W] Start\ Kryptoanalyse\ Moderne Verschlüsselung\ Symmetrische Verschlüsselung\ SDES*;;
270;7) Moderne Kryptoanalyse;Serial-Test;X;;;;Analyse\ Zufallsanalyse\ Serial-Test…;;;
271;7) Moderne Kryptoanalyse;Serpent Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Weitere Algorithmen\ Serpent…;;;
272;7) Moderne Kryptoanalyse;Twofish Brute-Force-Angriff;X;;;;Analyse\ Symmetrische Verschlüsselung (modern)\ Weitere Algorithmen\ Twofish…;;;
273;7) Moderne Kryptoanalyse;Vitányi-Analyse;X;;;;Analyse\ Zufallsanalyse\ Vitányi;;;
274;7) Moderne Kryptoanalyse;WEP-Angriff;;K\T;;;;[K] Protokolle\ Angriffe auf das WEP-Protokoll<br/>[T] Protokolle\ WEP-Angriff;;
276;8) Steganographie;Steganographie Einsetzung;;K\T;;;;[K] Steganographie\ Einfüge-Steganographie<br/>[T] Steganographie\ Steganographie Einsetzung*;;
277;8) Steganographie;Steganographie Niedrigstwertiges Bit;;K\T;;;;[K] Steganographie\ LSB-Steganographie\<br/>[T] Steganographie\ Steganographie Niedrigstwertiges Bit*;;
278;8) Steganographie;Steganographie Permutation;;K\T;;;;[K] Steganographie\ Permutations-Steganographie<br/>[T] Steganographie\ Steganographie Permutation*;;
280;9) Kodierungen;ASCII;;W;;X;;[W] Start\ Werkzeuge\ Kodierung;;Kodierungen\ ASCII
281;9) Kodierungen;ASN.1;X;;;;Einzelverfahren\ Tools\ Codierungen\ ASN.1-Decodieren eines Dokuments;;;
282;9) Kodierungen;Bacon;;;;X;;;;Kodierungen\ Bacon
283;9) Kodierungen;Barcode-Generator;;;;X;;;;Kodierungen\ Barcode-Generator
284;9) Kodierungen;Base 64 decodieren;X;W;;X;Einzelverfahren\ Tools\ Codierungen\ Base64-Codierung/Decodierung\ Base64 decodieren;[W] Start\ Werkzeuge\ Kodierung;;Kodierungen\ Base64
285;9) Kodierungen;Base 64 encodieren;X;W;;X;Einzelverfahren\ Tools\ Codierungen\ Base64-Codierung/Decodierung\ Base64 codieren;[W] Start\ Werkzeuge\ Kodierung;;Kodierungen\ Base64
286;9) Kodierungen;Code 39;;;;X;;;;Kodierungen\ Code39
287;9) Kodierungen;Huffman;;;D;X;;;[D] Visualisierungen\ Huffman-Kodierung;Kodierungen\ Huffman
288;9) Kodierungen;Morse Code;;;;X;;;;Kodierungen\ Morsecode
289;9) Kodierungen;Unzip;X;;;;Einzelverfahren\ Tools\ Codierungen\ Komprimieren\ UnZip;;;
290;9) Kodierungen;UU decodieren;X;;;;Einzelverfahren\ Tools\ Codierungen\ UU-Codierung/Decodierung\ UU decodieren;;;
291;9) Kodierungen;UU encodieren;X;;;;Einzelverfahren\ Tools\ Codierungen\ UU-Codierung/Decodierung\ UU codieren;;;
292;9) Kodierungen;Visueller Decodierer;;K;;;;[K] Werkzeuge\ Sonstige\ Visueller Dekodierer;;
293;9) Kodierungen;Visueller Codierer;;K;;;;[K] Werkzeuge\ Sonstige\ Visueller Kodierer;;
294;9) Kodierungen;Zip;X;;;;Einzelverfahren\ Tools\ Codierungen\ Komprimieren\ Zip;;;
296;10) Lernhilfen und Visualisierungen;AES-Visualisierung;X;;;;Einzelverfahren\ Visualisierung von Algorithmen\ AES…;;;
297;10) Lernhilfen und Visualisierungen;Ameisenkolonie-Optimierung-Visualisierung;;;D;;;;[D] Visualisierungen\ Ameisenkolonie-Optimierung;
298;10) Lernhilfen und Visualisierungen;Android-Mustersperre-Visualisierung;;;D;;;;[D] Visualisierungen\ Android-Mustersperre (AUP);
299;10) Lernhilfen und Visualisierungen;Authentifizierungsverfahren im Netz-Visualisierung;X;;;;Einzelverfahren\ Protokolle\ Authentifizierungsverfahren im Netz…;;;
300;10) Lernhilfen und Visualisierungen;BB84-Schlüsselaustausch;;T;;;;[T] Protokolle\ BB84-Schlüsselaustausch;;
301;10) Lernhilfen und Visualisierungen;BB84-Schlüsselaustausch mit Lauschangriff;;T;;;;[T] Protokolle\ BB84-Schlüsselaustausch mit Lauschangriff;;
302;10) Lernhilfen und Visualisierungen;Caesar-Visualisierung;X;;;;Einzelverfahren\ Visualisierung von Algorithmen\ Caesar…;;;
303;10) Lernhilfen und Visualisierungen;Chinesischer Restsatz-Visualisierung;X;;D;;Einzelverfahren\ Anwendungen des Chinesischen Restsatzes\;;[D] Visualisierungen\ Chinesischer Restsatz;
304;10) Lernhilfen und Visualisierungen;Coin Flipping-Protokoll;;T;;;;[T] Protokolle\ Coin Flipping-Protokoll;;
305;10) Lernhilfen und Visualisierungen;DES-Visualisierung;X;;;;Einzelverfahren\ Visualisierung von Algorithmen\ DES…;;;
306;10) Lernhilfen und Visualisierungen;Differential Power Analysis-Visualisierung;;;D;;;;[D] Visualisierungen\ Differential Power Analysis\ Double and Add;
307;10) Lernhilfen und Visualisierungen;Diffie-Hellman-Schlüsselaustausch (Perfect Forward Secrecy)-Visualisierung;X;;D;;Einzelverfahren\ Protokolle\ Diffie-Hellman-Demo…;;[D] Visualisierungen\ Diffie-Hellman Schlüsselaustausch (EC);
308;10) Lernhilfen und Visualisierungen;Digitale Signatur-Visualisierung;X;;D;;Digitale Signaturen/PKI\ Signaturdemo (Signaturerzeugung)…<br/>Einzelverfahren\ RSA-Kryptosystem\ Signaturdemo (Signaturerzeugung)…;;[D] Visualisierungen\ Signatur-Demo;
309;10) Lernhilfen und Visualisierungen;Dining Cryptographers-Protokoll;;T;;;;[T] Protokolle\ Dining Cryptographers-Protokoll;;
